Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),GDP ($ per capita),Literacy (%)
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"29,0","49,59",6900,"99,0"
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"303,0","21,59",2900,"96,0"
Samoa ,OCEANIA                            ,176908,2944,"60,1","13,69",5600,"99,7"
San Marino ,WESTERN EUROPE                     ,29251,61,"479,5","0,00",34600,"96,0"
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"193,2","20,88",1200,"79,3"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"13,8","0,13",11800,"78,8"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"61,1","0,27",1600,"40,2"
Serbia ,EASTERN EUROPE                     ,9396411,88361,"106,3","0,00",2200,"93,0"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"179,2","107,91",7800,"58,0"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"83,7","0,56",500,"31,4"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"6482,2","27,85",23700,"92,5"
Slovakia ,EASTERN EUROPE                     ,5439448,48845,"111,4","0,00",13300,
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"99,2","0,23",19000,"99,7"
Solomon Islands ,OCEANIA                            ,552438,28450,"19,4","18,67",1700,
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"13,9","0,47",500,"37,8"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"36,2","0,23",10700,"86,4"
Spain ,WESTERN EUROPE                     ,40397842,504782,"80,0","0,98",22000,"97,9"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"308,2","2,04",3700,"92,3"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"16,5","0,03",1900,"61,1"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"2,7","0,24",4000,"93,0"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,"65,5","0,00",4900,"81,6"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"20,0","0,72",26800,"99,0"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,"182,2","0,00",32700,"99,0"
Syria ,NEAR EAST                          ,18881361,185180,"102,0","0,10",3300,"76,9"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"640,3","4,35",23400,"96,1"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,"51,2","0,00",1000,"99,4"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"39,6","0,15",600,"78,2"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"125,7","0,63",7400,"92,6"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"97,7","0,10",1500,"60,9"
Tonga ,OCEANIA                            ,114689,748,"153,3","56,02",2200,"98,5"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"207,9","7,06",9500,"98,6"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"62,2","0,70",6900,"74,2"
Turkey ,NEAR EAST                          ,70413958,780580,"90,2","0,92",6700,"86,5"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,"10,3","0,00",5800,"98,0"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"49,2","90,47",9600,"98,0"
Tuvalu ,OCEANIA                            ,11810,26,"454,2","92,31",1100,
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,"119,5","0,00",1400,"69,9"
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"77,4","0,46",5400,"99,7"
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"31,4","1,59",23200,"77,9"
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"247,6","5,08",27700,"99,0"
United States ,NORTHERN AMERICA                   ,298444215,9631420,"31,0","0,21",37800,"97,0"
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"19,5","0,37",12800,"98,0"
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,"61,0","0,00",1700,"99,3"
Vanuatu ,OCEANIA                            ,208869,12200,"17,1","20,72",2900,"53,0"
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"28,2","0,31",4800,"93,4"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,"256,1","1,05",2500,"90,3"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,"56,9","9,84",17200,
Wallis and Futuna ,OCEANIA                            ,16025,274,"58,5","47,08",3700,"50,0"
West Bank ,NEAR EAST                          ,2460492,5860,"419,9","0,00",800,
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,"1,0","0,42",,
Yemen ,NEAR EAST                          ,21456188,527970,"40,6","0,36",800,"50,2"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,"15,3","0,00",800,"80,6"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,"31,3","0,00",1900,"90,7"
