,Season,Stage,Player,Field_goals_made,Field_goals_attempts,3_points_made,3_points_attempts,Free_throw_made,Free_throw_attempts
NBA,2019 - 2020,Regular_Season,Steven Adams,283,478,1,3,117,201
NBA,2019 - 2020,Regular_Season,Tristan Thompson,288,562,9,23,99,161
NBA,2019 - 2020,Regular_Season,Jae Crowder,226,563,135,394,97,125
NBA,2019 - 2020,Regular_Season,Kevin Huerter,252,610,127,334,53,64
NBA,2019 - 2020,Regular_Season,Dorian Finney-Smith,243,522,114,303,78,108
NBA,2019 - 2020,Regular_Season,Langston Galloway,236,542,132,331,73,85
NBA,2019 - 2020,Regular_Season,Maxi Kleber,237,514,119,319,79,93
NBA,2019 - 2020,Regular_Season,Bobby Portis,265,589,67,187,71,93
NBA,2019 - 2020,Regular_Season,Mikal Bridges,247,484,70,194,103,122
NBA,2019 - 2020,Regular_Season,Danuel House,230,539,129,355,73,90
NBA,2019 - 2020,Regular_Season,Monte Morris,260,566,65,172,75,89
NBA,2019 - 2020,Regular_Season,Thaddeus Young,269,601,79,222,42,72
NBA,2019 - 2020,Regular_Season,Josh Hart,225,532,121,354,85,115
NBA,2019 - 2020,Regular_Season,Kentavious Caldwell-Pope,237,507,92,239,79,102
NBA,2019 - 2020,Regular_Season,Tomas Satoransky,237,551,64,199,106,121
NBA,2019 - 2020,Regular_Season,Cody Zeller,251,479,18,75,122,179
NBA,2019 - 2020,Regular_Season,Jeff Teague,213,489,43,117,172,197
NBA,2019 - 2020,Regular_Season,Garrett Temple,222,587,127,386,70,87
NBA,2019 - 2020,Regular_Season,Aaron Holiday,233,563,87,221,74,87
NBA,2019 - 2020,Regular_Season,Damion Lee,213,511,85,239,110,126
NBA,2019 - 2020,Regular_Season,Malik Beasley,227,534,107,276,54,66
NBA,2019 - 2020,Regular_Season,Donte DiVincenzo,232,510,83,247,63,86
NBA,2019 - 2020,Regular_Season,Cam Reddish,213,554,83,250,101,126
NBA,2019 - 2020,Regular_Season,Justin Holiday,208,486,134,331,53,67
NBA,2019 - 2020,Regular_Season,Daniel Theis,241,426,32,96,87,114
NBA,2019 - 2020,Regular_Season,D.J. Augustin,184,461,70,201,161,181
NBA,2019 - 2020,Regular_Season,Kent Bazemore,200,534,84,244,113,147
NBA,2019 - 2020,Regular_Season,Ivica Zubac,236,386,0,2,124,166
NBA,2019 - 2020,Regular_Season,Austin Rivers,211,501,96,270,78,111
NBA,2019 - 2020,Regular_Season,Paul Millsap,211,438,54,124,115,141
NBA,2019 - 2020,Regular_Season,Mitchell Robinson,253,341,0,0,84,148
NBA,2019 - 2020,Regular_Season,Gary Harris,218,519,70,210,75,92
NBA,2019 - 2020,Regular_Season,Jarrett Culver,230,569,66,221,54,117
NBA,2019 - 2020,Regular_Season,Anfernee Simons,214,536,75,226,76,92
NBA,2019 - 2020,Regular_Season,Shabazz Napier,188,456,76,240,126,153
NBA,2019 - 2020,Regular_Season,Jeremy Lamb,216,479,53,158,92,110
