rank,votes,title,category,authors,avg_rating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
10,5713,A Piglet Named Mercy,Picture Books,"Kate DiCamillo, Chris Van Dusen",3.84,32,2019-04-02,Candlewick Press,338,469,351,82,9,1249
11,2943,Pirates Don't Go to Kindergarten!,Picture Books,"Lisa     Robinson, Eda Kaban",4.13,32,2019-08-01,Two Lions,390,227,154,34,20,825
12,2875,The Proudest Blue,Picture Books,"Ibtihaj Muhammad, S.K. Ali, Hatem Aly",4.55,40,2019-09-10,Little Brown Books,1106,507,101,13,10,1737
13,2604,How to Read a Book,Picture Books,"Kwame Alexander, Melissa Sweet",3.79,32,2019-06-18,HarperCollins,758,587,482,223,90,2140
14,1976,It's Not Hansel and Gretel,Picture Books,"Josh Funk, Edwardian Taylor",4.04,40,2019-03-01,Two Lions,457,268,160,72,39,996
15,1655,Fry Bread: A Native American Family Story,Picture Books,"Kevin Noble Maillard, Juana Martinez-Neal",4.48,42,2019-10-22,Roaring Brook Press,940,457,151,12,4,1564
16,1466,What If Everybody Thought That?,Picture Books,"Ellen Javernick, Colleen Madden",3.41,32,2019-08-27,Two Lions,55,61,93,44,10,263
17,1459,"Vacation for Dexter! (Dexter T. Rexter, #3)",Picture Books,Lindsay Ward,3.69,32,2019-04-16,Two Lions,46,72,81,14,1,214
18,838,The Undefeated,Picture Books,"Kwame Alexander, Kadir Nelson",4.71,40,2019-04-02,Versify,2047,447,114,22,6,2636
19,823,Rosie the Dragon and Charlie Make Waves,Picture Books,"Lauren H. Kerstein, Nate Wragg",3.8,40,2019-06-01,Two Lions,182,105,115,58,15,475
20,650,Snow Globe Wishes,Picture Books,"Erin Dealey, Claire Shorrock",3.67,32,2019-09-15,Sleeping Bear Press,64,99,127,17,2,309
