rank,votes,title,category,authors,avg_rating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
17,2580,"The Secret Commonwealth (The Book of Dust, #2)",Young Adult Fantasy,Philip Pullman,4.12,633,2019-10-03,Alfred A. Knopf Books for Young Readers,8462,7917,3597,891,196,21063
18,2482,"Serpent & Dove (Serpent & Dove, #1)",Young Adult Fantasy,Shelby Mahurin,4.18,513,2019-09-03,HarperTeen,13313,10682,4140,1286,404,29825
19,1916,"We Hunt the Flame (Sands of Arawiya, #1)",Young Adult Fantasy,Hafsah Faizal,3.81,472,2019-05-14,"Farrar, Straus and Giroux",2572,3001,1884,744,255,8456
20,1859,"The Gilded Wolves (The Gilded Wolves, #1)",Young Adult Fantasy,Roshani Chokshi,3.66,388,2019-01-15,Wednesday Books,3046,5386,3736,1443,409,14020
1,33333,"The Tyrant's Tomb (The Trials of Apollo, #4)",Middle Grade & Children's,Rick Riordan,4.28,440,2019-09-24,Disney-Hyperion,8033,4915,1631,464,373,15416
2,30557,"Tunnel of Bones (Cassidy Blake, #2)",Middle Grade & Children's,Victoria Schwab,4.12,287,2019-09-03,Scholastic Press,2919,4351,1531,105,23,8929
3,20488,Guts,Middle Grade & Children's,Raina Telgemeier,4.37,213,2019-09-17,Graphix,9131,5202,1869,313,177,16692
4,10979,The Remarkable Journey of Coyote Sunrise,Middle Grade & Children's,Dan Gemeinhart,4.49,344,2019-01-08,Henry Holt & Company (BYR),4035,1781,498,99,52,6465
5,10452,"New Kid (New Kid, #1)",Middle Grade & Children's,Jerry Craft,4.11,256,2019-02-05,Quill Tree Books,8723,6710,2491,748,850,19522
6,9798,"A Crystal of Time (The School for Good and Evil: The Camelot Years, #2)",Middle Grade & Children's,"Soman Chainani, Iacopo Bruno",4.53,624,2019-03-05,HarperCollins,2057,789,248,40,23,3157
7,9008,Dragon Pearl,Middle Grade & Children's,Yoon Ha Lee,3.82,312,2019-01-15,Rick Riordan Presents,1048,1766,1201,255,41,4311
8,8726,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Middle Grade & Children's,Jeff Kinney,4.03,224,2019-04-09,Harry N. Abrams,7294,2954,2054,873,1039,14214
