,Season,Player,Team,GP,MIN,3PM,3PA,height_cm,weight,weight_kg
NBA,2017 - 2018,E'Twaun Moore,NOP,82,2585.5,128,301,193,191,87
NBA,2017 - 2018,Jaylen Brown,BOS,70,2151.9,121,306,201,220,100
NBA,2017 - 2018,Josh Jackson,PHX,77,1959.5,57,217,203,207,94
NBA,2017 - 2018,Robert Covington,PHI,80,2531,203,550,206,225,102
NBA,2017 - 2018,Ricky Rubio,UTA,77,2254.5,96,273,193,190,86
NBA,2017 - 2018,Spencer Dinwiddie,BRK,80,2305.9,141,433,198,210,95
NBA,2017 - 2018,Enes Kanter,NYK,71,1829.8,0,2,211,250,113
NBA,2017 - 2018,Taj Gibson,MIN,82,2726.6,7,35,206,232,105
NBA,2017 - 2018,Jeff Teague,MIN,70,2311.3,84,228,188,195,88
NBA,2017 - 2018,Kentavious Caldwell-Pope,LAL,74,2457.9,159,415,196,205,93
NBA,2017 - 2018,Allen Crabbe,BRK,75,2197.3,201,532,198,212,96
NBA,2017 - 2018,DeMarre Carroll,BRK,73,2179.6,145,391,203,215,98
NBA,2017 - 2018,Jonas Valanciunas,TOR,77,1727.3,30,74,213,265,120
NBA,2017 - 2018,Michael Beasley,NYK,74,1653.4,34,86,206,235,107
NBA,2017 - 2018,Marco Belinelli,PHI,80,1946.9,149,395,196,225,102
NBA,2017 - 2018,Bobby Portis,CHI,73,1642.4,80,223,211,250,113
NBA,2017 - 2018,Jonathon Simmons,ORL,69,2029.4,69,204,198,195,88
NBA,2017 - 2018,Brook Lopez,LAL,74,1735,112,325,213,270,122
NBA,2017 - 2018,Serge Ibaka,TOR,76,2093.2,107,297,208,235,107
NBA,2017 - 2018,Thaddeus Young,IND,81,2607.2,58,181,203,221,100
NBA,2017 - 2018,"Kelly Oubre, Jr.",WAS,81,2230.5,126,369,201,205,93
NBA,2017 - 2018,Brandon Ingram,LAL,59,1974.7,41,105,206,190,86
NBA,2017 - 2018,Rondae Hollis-Jefferson,BRK,68,1920.6,13,54,201,217,98
NBA,2017 - 2018,Derrick Favors,UTA,77,2153.5,14,63,208,265,120
NBA,2017 - 2018,Joe Ingles,UTA,82,2578.6,204,464,203,226,103
NBA,2017 - 2018,Willie Cauley-Stein,SAC,73,2044,3,12,213,240,109
NBA,2017 - 2018,DeAndre Jordan,LAC,77,2423.7,0,0,211,265,120
NBA,2017 - 2018,Al Horford,BOS,72,2277.1,97,226,208,245,111
NBA,2017 - 2018,Dirk Nowitzki,DAL,77,1900.4,138,337,213,245,111
NBA,2017 - 2018,Austin Rivers,LAC,61,2056.7,136,360,193,200,91
NBA,2017 - 2018,Bogdan Bogdanovic,SAC,78,2175.2,129,329,198,220,100
NBA,2017 - 2018,Courtney Lee,NYK,76,2309.9,113,278,196,215,98
NBA,2017 - 2018,Terry Rozier,BOS,80,2068.1,153,402,185,190,86
NBA,2017 - 2018,Dillon Brooks,MEM,82,2349.8,94,264,198,220,100
NBA,2017 - 2018,Ish Smith,DET,82,2042.7,35,101,183,175,79
NBA,2017 - 2018,Rodney Hood,CLE,60,1615.5,127,333,203,205,93
NBA,2017 - 2018,Justin Holiday,CHI,72,2265,161,449,198,181,82
NBA,2017 - 2018,Frank Kaminsky,CHA,79,1835.1,104,274,213,242,110
NBA,2017 - 2018,Kelly Olynyk,MIA,76,1778.9,106,280,213,240,109
NBA,2017 - 2018,Wayne Ellington,MIA,77,2041.1,227,579,196,200,91
NBA,2017 - 2018,Domantas Sabonis,IND,74,1811.8,13,37,211,240,109
NBA,2017 - 2018,Nikola Mirotic,NOP,55,1494,135,358,208,250,113
NBA,2017 - 2018,Caris LeVert,BRK,71,1863.8,85,245,201,204,93
NBA,2017 - 2018,Zach Randolph,SAC,59,1507.7,51,147,206,260,118
NBA,2017 - 2018,Darren Collison,IND,69,2018.5,96,205,183,175,79
NBA,2017 - 2018,Joe Harris,BRK,78,1974.5,150,358,198,218,99
NBA,2017 - 2018,Jeff Green,CLE,78,1827.7,53,170,206,235,107
NBA,2017 - 2018,De'Aaron Fox,SAC,73,2025.6,47,153,191,185,84
NBA,2017 - 2018,Tyler Johnson,MIA,72,2052.2,119,324,193,190,86
NBA,2017 - 2018,Markieff Morris,WAS,73,1967.9,76,207,208,245,111
NBA,2017 - 2018,Yogi Ferrell,DAL,82,2281.5,134,359,183,180,82
NBA,2017 - 2018,Montrezl Harrell,LAC,76,1293,1,7,203,240,109
NBA,2017 - 2018,Kent Bazemore,ATL,65,1789.4,108,274,196,200,91
NBA,2017 - 2018,Myles Turner,IND,65,1836.3,56,157,211,250,113
NBA,2017 - 2018,Jamal Crawford,MIN,80,1653.2,104,314,196,195,88
NBA,2017 - 2018,Patty Mills,SAS,82,2107.3,154,414,183,180,82
NBA,2017 - 2018,Wesley Matthews,DAL,63,2131.4,153,402,196,220,100
NBA,2017 - 2018,J.J. Barea,DAL,69,1603.3,115,313,183,185,84
NBA,2017 - 2018,Elfrid Payton,PHX,63,1808.6,30,92,193,185,84
NBA,2017 - 2018,James Johnson,MIA,73,1943.3,57,185,203,240,109
NBA,2017 - 2018,Denzel Valentine,CHI,77,2095.2,143,370,198,210,95
NBA,2017 - 2018,Trevor Ariza,HOU,67,2269.2,170,462,203,215,98
NBA,2017 - 2018,John Collins,ATL,74,1784.8,16,47,208,235,107
NBA,2017 - 2018,Pau Gasol,SAS,77,1812,43,120,213,250,113
NBA,2017 - 2018,Draymond Green,GSW,70,2286.8,77,256,201,230,104
NBA,2017 - 2018,Jae Crowder,UTA,80,2089.5,110,341,198,235,107
NBA,2017 - 2018,D.J. Augustin,ORL,75,1760,114,272,183,183,83
NBA,2017 - 2018,Dwyane Wade,MIA,67,1536.1,32,111,193,220,100
NBA,2017 - 2018,Lance Stephenson,IND,82,1849.9,67,232,198,230,104
NBA,2017 - 2018,Rudy Gobert,UTA,56,1816.1,0,0,216,245,111
NBA,2017 - 2018,Robin Lopez,CHI,64,1690.5,4,14,213,275,125
NBA,2017 - 2018,Hassan Whiteside,MIA,54,1364.2,2,2,216,265,120
NBA,2017 - 2018,Ersan Ilyasova,PHI,69,1729.7,91,253,208,235,107
NBA,2017 - 2018,Marvin Williams,CHA,78,2005.9,126,305,206,237,108
NBA,2017 - 2018,Nicolas Batum,CHA,64,1980.8,92,274,203,200,91
NBA,2017 - 2018,Wilson Chandler,DEN,74,2346.1,88,246,206,225,102
NBA,2017 - 2018,Marcus Morris,BOS,54,1447.1,86,234,206,235,107
NBA,2017 - 2018,Trey Lyles,DEN,73,1390.6,83,218,208,235,107
NBA,2017 - 2018,Mario Hezonja,ORL,75,1657,90,267,203,220,100
NBA,2017 - 2018,Anthony Tolliver,DET,79,1756.9,159,365,203,245,111
NBA,2017 - 2018,Troy Daniels,PHX,79,1622,183,458,193,205,93
NBA,2017 - 2018,C.J. Miles,TOR,70,1336.3,164,454,198,220,100
NBA,2017 - 2018,Reggie Bullock,DET,62,1731.6,125,281,201,205,93
NBA,2017 - 2018,Marcin Gortat,WAS,82,2074.6,0,0,211,240,109
NBA,2017 - 2018,Jerami Grant,OKC,81,1646.9,32,110,206,220,100
NBA,2017 - 2018,Michael Kidd-Gilchrist,CHA,74,1850.4,0,2,201,232,105
NBA,2017 - 2018,Kyle Korver,CLE,73,1573.8,164,376,201,212,96
NBA,2017 - 2018,Dwight Powell,DAL,79,1671.6,28,84,211,240,109
NBA,2017 - 2018,Mike Scott,WAS,76,1406.2,66,163,203,237,108
NBA,2017 - 2018,George Hill,CLE,67,1812.2,85,205,191,188,85
NBA,2017 - 2018,John Henson,MIL,76,1969.7,1,7,211,219,99
NBA,2017 - 2018,J.R. Smith,CLE,80,2244.1,143,381,198,225,102
NBA,2017 - 2018,Fred VanVleet,TOR,76,1519.9,108,261,183,195,88
NBA,2017 - 2018,Rudy Gay,SAS,57,1231.3,37,118,203,240,109
NBA,2017 - 2018,Dejounte Murray,SAS,81,1743,9,34,196,175,79
NBA,2017 - 2018,Cory Joseph,IND,82,2209.8,67,190,191,200,91
NBA,2017 - 2018,Evan Turner,POR,79,2033.9,42,132,201,220,100
NBA,2017 - 2018,Al-Farouq Aminu,POR,69,2072.3,125,339,206,220,100
NBA,2017 - 2018,Shabazz Napier,POR,74,1535.3,82,218,185,180,82
NBA,2017 - 2018,Darius Miller,NOP,82,1943.7,147,358,203,225,102
NBA,2017 - 2018,Doug McDermott,DAL,81,1767.8,92,216,203,225,102
NBA,2017 - 2018,Jerian Grant,CHI,74,1686.3,61,187,193,198,90
NBA,2017 - 2018,Dewayne Dedmon,ATL,62,1542.3,50,141,213,245,111
NBA,2017 - 2018,Ryan Anderson,HOU,66,1725.4,131,339,208,240,109
NBA,2017 - 2018,Danny Green,SAS,70,1791,116,320,198,215,98
NBA,2017 - 2018,Stanley Johnson,DET,69,1893.5,67,234,201,245,111
NBA,2017 - 2018,Devin Harris,DEN,71,1339.5,79,227,191,185,84
NBA,2017 - 2018,Pascal Siakam,TOR,81,1679.2,29,132,206,230,104
NBA,2017 - 2018,Alex Len,PHX,69,1395.4,1,3,216,250,113
NBA,2017 - 2018,Jarrett Allen,BRK,72,1441.2,5,15,211,237,108
NBA,2017 - 2018,Kyle Anderson,SAS,74,1978.3,19,57,206,230,104
NBA,2017 - 2018,Nick Young,GSW,80,1393.1,123,326,201,210,95
NBA,2017 - 2018,Manu Ginobili,SAS,65,1298.7,64,192,198,205,93
NBA,2017 - 2018,"Larry Nance, Jr.",CLE,66,1420.6,2,12,206,230,104
NBA,2017 - 2018,Jakob Poeltl,TOR,82,1523.5,1,2,213,240,109
NBA,2017 - 2018,Raymond Felton,OKC,82,1364.6,81,230,185,205,93
NBA,2017 - 2018,Jarell Martin,MEM,73,1660.6,34,98,208,239,108
NBA,2017 - 2018,Luke Kennard,DET,73,1462.7,81,195,196,206,93
NBA,2017 - 2018,Marquese Chriss,PHX,72,1527,56,190,208,230,104
NBA,2017 - 2018,Delon Wright,TOR,69,1432.7,56,153,196,183,83
NBA,2017 - 2018,David Nwaba,CHI,70,1645.8,18,52,193,219,99
NBA,2017 - 2018,Bryn Forbes,SAS,80,1516.8,89,228,191,195,88
NBA,2017 - 2018,Tyler Ulis,PHX,71,1658.5,42,146,178,149,68
NBA,2017 - 2018,Emmanuel Mudiay,NYK,64,1244.1,47,148,196,200,91
NBA,2017 - 2018,Ian Clark,NOP,74,1454.6,62,195,191,175,79
NBA,2017 - 2018,Kyle O'Quinn,NYK,77,1386.6,4,17,208,250,113
NBA,2017 - 2018,Marcus Smart,BOS,54,1613.6,75,249,193,220,100
NBA,2017 - 2018,Garrett Temple,SAC,65,1614.9,89,227,198,195,88
NBA,2017 - 2018,Rajon Rondo,NOP,65,1705,50,150,185,186,84
NBA,2017 - 2018,Dragan Bender,PHX,82,2069.4,118,322,216,235,107
NBA,2017 - 2018,Justise Winslow,MIA,68,1680.2,49,129,201,225,102
NBA,2017 - 2018,Tomas Satoransky,WAS,73,1642.6,47,101,201,210,95
NBA,2017 - 2018,Mason Plumlee,DEN,74,1441.3,0,1,211,235,107
NBA,2017 - 2018,Greg Monroe,BOS,51,1040.9,0,0,211,265,120
NBA,2017 - 2018,Skal Labissiere,SAC,60,1240.2,18,51,211,235,107
NBA,2017 - 2018,Tony Snell,MIL,75,2053.3,108,268,201,213,97
NBA,2017 - 2018,James Ennis,DET,72,1603.9,51,153,201,210,95
NBA,2017 - 2018,Mario Chalmers,MEM,66,1421.4,53,191,188,190,86
NBA,2017 - 2018,P.J. Tucker,HOU,82,2281.2,115,310,198,245,111
NBA,2017 - 2018,Gerald Green,HOU,41,929.1,110,298,201,205,93
NBA,2017 - 2018,Josh Hart,LAL,63,1460.5,78,197,196,215,98
NBA,2017 - 2018,David West,GSW,73,998.7,3,8,206,250,113
NBA,2017 - 2018,Alec Burks,UTA,64,1058.6,47,142,198,214,97
NBA,2017 - 2018,Jodie Meeks,WAS,77,1118.7,72,210,193,210,95
NBA,2017 - 2018,Aron Baynes,BOS,81,1484.7,3,21,208,260,118
NBA,2017 - 2018,T.J. McConnell,PHI,76,1706.2,27,62,188,190,86
NBA,2017 - 2018,Kosta Koufos,SAC,71,1391.2,0,0,213,265,120
NBA,2017 - 2018,Bam Adebayo,MIA,69,1368.1,0,7,208,255,116
NBA,2017 - 2018,Shelvin Mack,ORL,69,1364.7,48,139,191,203,92
NBA,2017 - 2018,Gorgui Dieng,MIN,79,1332.7,19,61,211,252,114
NBA,2017 - 2018,Bismack Biyombo,ORL,82,1494.9,0,1,206,255,116
NBA,2017 - 2018,Jarrett Jack,NYK,62,1547.9,25,86,191,200,91
NBA,2017 - 2018,Frank Ntilikina,NYK,78,1705.3,50,157,198,200,91
NBA,2017 - 2018,Luc Mbah a Moute,HOU,61,1564.3,63,173,203,230,104
NBA,2017 - 2018,Davis Bertans,SAS,77,1086.2,94,252,208,225,102
NBA,2017 - 2018,Nemanja Bjelica,MIN,67,1370.8,76,183,208,235,107
NBA,2017 - 2018,Justin Jackson,SAC,68,1506.2,57,185,203,210,95
NBA,2017 - 2018,Isaiah Taylor,ATL,67,1167,20,80,191,170,77
NBA,2017 - 2018,Tyler Zeller,MIL,66,1108.2,10,28,213,259,117
NBA,2017 - 2018,Pat Connaughton,POR,82,1487.6,74,210,193,209,95
NBA,2017 - 2018,Ogugua Anunoby,TOR,74,1481.6,73,197,203,232,105
NBA,2017 - 2018,Jonas Jerebko,UTA,74,1133.3,65,157,208,231,105
NBA,2017 - 2018,Trevor Booker,IND,68,1158.1,8,33,203,228,103
NBA,2017 - 2018,Tony Parker,SAS,55,1070.9,10,37,188,185,84
NBA,2017 - 2018,Malik Monk,CHA,63,853.5,83,243,191,200,91
NBA,2017 - 2018,Dante Cunningham,BRK,73,1561.7,58,168,203,230,104
NBA,2017 - 2018,Tyus Jones,MIN,82,1466.8,45,129,188,196,89
NBA,2017 - 2018,Ed Davis,POR,78,1470.9,0,1,208,225,102
NBA,2017 - 2018,Quincy Acy,BRK,70,1359.2,102,292,201,240,109
NBA,2017 - 2018,Wesley Johnson,LAC,74,1486.2,60,177,201,215,98
NBA,2017 - 2018,Shaun Livingston,GSW,71,1129.2,0,5,201,192,87
NBA,2017 - 2018,Maxi Kleber,DAL,72,1206.1,40,128,211,240,109
NBA,2017 - 2018,Maurice Harkless,POR,59,1263.8,49,118,206,220,100
NBA,2017 - 2018,Norman Powell,TOR,70,1061.5,53,186,193,215,98
NBA,2017 - 2018,Andre Iguodala,GSW,64,1622.5,33,117,198,215,98
NBA,2017 - 2018,Corey Brewer,OKC,72,1208.5,31,110,206,186,84
NBA,2017 - 2018,Zaza Pachulia,GSW,69,971.8,0,1,211,270,122
NBA,2017 - 2018,Joe Johnson,HOU,55,1204.8,40,145,201,240,109
NBA,2017 - 2018,Ian Mahinmi,WAS,77,1145.3,0,2,211,262,119
NBA,2017 - 2018,Deyonta Davis,MEM,62,942.6,0,0,206,237,108
NBA,2017 - 2018,Langston Galloway,DET,58,863.4,75,218,188,200,91
NBA,2017 - 2018,Thon Maker,MIL,74,1237.8,31,104,216,221,100
NBA,2017 - 2018,Alex Abrines,OKC,75,1134.2,84,221,198,190,86
NBA,2017 - 2018,Royce O'Neale,UTA,69,1149.5,42,118,198,226,103
NBA,2017 - 2018,Amir Johnson,PHI,74,1170.3,10,32,206,240,109
NBA,2017 - 2018,Maybyner Nene,HOU,52,758.4,0,2,211,250,113
NBA,2017 - 2018,Daniel Theis,BOS,63,935.7,18,58,203,243,110
NBA,2017 - 2018,Patrick Patterson,OKC,82,1269.8,66,171,206,230,104
NBA,2017 - 2018,Vince Carter,SAC,58,1025.9,57,165,198,220,100
NBA,2017 - 2018,JaVale McGee,GSW,65,615.2,0,6,213,270,122
NBA,2017 - 2018,Tristan Thompson,CLE,53,1072.2,0,0,208,238,108
NBA,2017 - 2018,Sam Dekker,LAC,73,882.6,10,60,206,230,104
NBA,2017 - 2018,Lance Thomas,NYK,73,1353.2,50,124,203,240,109
NBA,2017 - 2018,Zach Collins,POR,66,1045.6,35,113,213,235,107
NBA,2017 - 2018,Sindarius Thornwell,LAC,73,1155.7,23,61,196,215,98
NBA,2017 - 2018,Treveon Graham,CHA,63,1049.5,40,97,196,225,102
NBA,2017 - 2018,Kevon Looney,GSW,66,910,1,5,206,220,100
NBA,2017 - 2018,Jordan Bell,GSW,57,808.9,0,4,206,224,102
NBA,2017 - 2018,Jose Calderon,CLE,57,914.3,45,97,191,200,91
NBA,2017 - 2018,Cheick Diallo,NOP,52,581,0,0,206,220,100
NBA,2017 - 2018,Cedi Osman,CLE,61,672.3,32,87,203,215,98
NBA,2017 - 2018,Shane Larkin,BOS,54,774.7,31,86,180,175,79
NBA,2017 - 2018,Wesley Iwundu,ORL,62,1020.2,9,46,201,195,88
NBA,2017 - 2018,Patrick McCaw,GSW,57,961.1,19,80,201,185,84
NBA,2017 - 2018,Salah Mejri,DAL,61,728.9,0,3,218,235,107
NBA,2017 - 2018,Malik Beasley,DEN,62,582.6,28,82,196,195,88
NBA,2017 - 2018,Semi Ojeleye,BOS,73,1150.1,40,125,201,241,109
NBA,2017 - 2018,Terrance Ferguson,OKC,61,763,40,120,201,190,86
NBA,2017 - 2018,Tarik Black,HOU,51,536.5,1,11,206,250,113
NBA,2017 - 2018,Tim Frazier,WAS,59,837.9,17,56,185,170,77
NBA,2017 - 2018,Ekpe Udoh,UTA,63,809.5,0,1,208,245,111
NBA,2017 - 2018,Josh Huestis,OKC,69,981.5,33,115,201,230,104
NBA,2017 - 2018,Brandon Paul,SAS,64,576,15,54,193,200,91
NBA,2017 - 2018,Abdel Nader,BOS,48,521.5,23,65,198,225,102
NBA,2017 - 2018,Eric Moreland,DET,67,805,0,0,208,240,109
NBA,2017 - 2018,DeAndre Liggins,NOP,58,723.5,19,53,198,210,95
NBA,2017 - 2018,LeBron James,CLE,22,921.7,39,114,203,250,113
NBA,2017 - 2018,Kevin Durant,GSW,21,807.4,47,138,206,240,109
NBA,2017 - 2018,James Harden,HOU,17,620.6,52,174,196,220,100
NBA,2017 - 2018,Klay Thompson,GSW,21,793.8,67,157,201,215,98
NBA,2017 - 2018,Stephen Curry,GSW,15,554.9,64,162,191,190,86
NBA,2017 - 2018,Jayson Tatum,BOS,19,682.8,23,71,203,208,94
NBA,2017 - 2018,Jaylen Brown,BOS,18,583,44,112,201,220,100
NBA,2017 - 2018,Chris Paul,HOU,15,516.9,37,99,183,175,79
NBA,2017 - 2018,Terry Rozier,BOS,19,695.6,51,147,185,190,86
NBA,2017 - 2018,Kevin Love,CLE,21,660.5,36,106,208,251,114
NBA,2017 - 2018,Al Horford,BOS,19,678.9,15,43,208,245,111
NBA,2017 - 2018,Anthony Davis,NOP,9,358.1,6,22,208,253,115
NBA,2017 - 2018,Donovan Mitchell,UTA,11,411.3,25,80,191,215,98
NBA,2017 - 2018,Eric Gordon,HOU,17,549,43,130,193,215,98
NBA,2017 - 2018,Marcus Morris,BOS,19,562,30,72,206,235,107
NBA,2017 - 2018,DeMar DeRozan,TOR,10,354.4,10,35,201,220,100
NBA,2017 - 2018,Draymond Green,GSW,21,818.5,21,79,201,230,104
NBA,2017 - 2018,Clint Capela,HOU,17,519.6,0,0,208,240,109
NBA,2017 - 2018,Jrue Holiday,NOP,9,348.5,16,50,193,205,93
NBA,2017 - 2018,J.R. Smith,CLE,22,705.6,44,120,198,225,102
NBA,2017 - 2018,Kyle Korver,CLE,22,505.4,45,109,201,212,96
NBA,2017 - 2018,J.J. Redick,PHI,10,342.4,26,75,193,200,91
NBA,2017 - 2018,Giannis Antetokounmpo,MIL,7,280.2,4,14,211,242,110
NBA,2017 - 2018,Russell Westbrook,OKC,6,235.5,15,42,191,200,91
NBA,2017 - 2018,George Hill,CLE,19,556.9,16,51,191,188,85
NBA,2017 - 2018,Kyle Lowry,TOR,10,360.8,28,63,185,196,89
NBA,2017 - 2018,Khris Middleton,MIL,7,275.4,25,41,203,222,101
NBA,2017 - 2018,Dario Saric,PHI,10,328.5,20,52,208,250,113
NBA,2017 - 2018,Joel Embiid,PHI,8,278.3,8,29,213,250,113
NBA,2017 - 2018,Jeff Green,CLE,22,523.4,21,70,206,235,107
NBA,2017 - 2018,Ben Simmons,PHI,10,369.4,0,1,208,230,104
NBA,2017 - 2018,Joe Ingles,UTA,11,382.5,35,77,203,226,103
NBA,2017 - 2018,Victor Oladipo,IND,7,260.8,23,57,193,210,95
NBA,2017 - 2018,John Wall,WAS,6,234.4,4,21,193,210,95
NBA,2017 - 2018,P.J. Tucker,HOU,17,569.5,35,75,198,245,111
NBA,2017 - 2018,Trevor Ariza,HOU,17,581.8,26,91,203,215,98
NBA,2017 - 2018,Paul George,OKC,6,251.2,19,52,206,220,100
NBA,2017 - 2018,Marcus Smart,BOS,15,449.2,15,68,193,220,100
NBA,2017 - 2018,Jonas Valanciunas,TOR,10,244.5,2,5,213,265,120
NBA,2017 - 2018,Rudy Gobert,UTA,11,383.2,0,0,216,245,111
NBA,2017 - 2018,Shaun Livingston,GSW,21,362.1,0,1,201,192,87
NBA,2017 - 2018,Bradley Beal,WAS,6,215.6,21,45,191,207,94
NBA,2017 - 2018,Nikola Mirotic,NOP,9,319.9,22,51,208,250,113
NBA,2017 - 2018,Marco Belinelli,PHI,10,273.4,16,46,196,225,102
NBA,2017 - 2018,Andre Iguodala,GSW,15,401.4,14,37,198,215,98
NBA,2017 - 2018,Tristan Thompson,CLE,19,415.6,0,1,208,238,108
NBA,2017 - 2018,LaMarcus Aldridge,SAS,5,176.5,3,5,211,265,120
NBA,2017 - 2018,Aron Baynes,BOS,19,389.4,11,23,208,260,118
NBA,2017 - 2018,Jae Crowder,UTA,11,323.2,22,66,198,235,107
NBA,2017 - 2018,Gerald Green,HOU,17,271.9,27,72,201,205,93
NBA,2017 - 2018,Derrick Favors,UTA,11,286.4,2,5,208,265,120
NBA,2017 - 2018,E'Twaun Moore,NOP,9,284.2,9,25,193,191,87
NBA,2017 - 2018,C.J. McCollum,POR,4,155.5,11,26,191,190,86
NBA,2017 - 2018,"Larry Nance, Jr.",CLE,20,306.9,0,1,206,230,104
NBA,2017 - 2018,C.J. Miles,TOR,10,227.1,19,45,198,220,100
NBA,2017 - 2018,Eric Bledsoe,MIL,7,224.9,7,22,185,205,93
NBA,2017 - 2018,Rajon Rondo,NOP,9,302.3,8,19,185,186,84
NBA,2017 - 2018,Ersan Ilyasova,PHI,10,233.1,9,31,208,235,107
NBA,2017 - 2018,Goran Dragic,MIA,5,156.4,8,21,191,190,86
NBA,2017 - 2018,Rodney Hood,CLE,17,259.6,4,24,203,205,93
NBA,2017 - 2018,Jordan Clarkson,CLE,19,285.5,11,46,196,194,88
NBA,2017 - 2018,Serge Ibaka,TOR,10,259.9,9,24,208,235,107
NBA,2017 - 2018,Myles Turner,IND,7,195.9,6,13,211,250,113
NBA,2017 - 2018,Domantas Sabonis,IND,7,166.2,1,7,211,240,109
NBA,2017 - 2018,Bojan Bogdanovic,IND,7,238.1,17,45,203,216,98
NBA,2017 - 2018,Kevon Looney,GSW,21,387.1,0,2,206,220,100
NBA,2017 - 2018,Delon Wright,TOR,10,214.9,9,21,196,183,83
NBA,2017 - 2018,Ricky Rubio,UTA,6,180.8,10,32,193,190,86
NBA,2017 - 2018,JaVale McGee,GSW,13,158.2,0,1,213,270,122
NBA,2017 - 2018,Dwyane Wade,MIA,5,127.4,0,4,193,220,100
NBA,2017 - 2018,Alec Burks,UTA,9,120.4,9,20,198,214,97
NBA,2017 - 2018,Robert Covington,PHI,10,281.1,15,48,206,225,102
NBA,2017 - 2018,Quinn Cook,GSW,17,174.8,7,31,188,179,81
NBA,2017 - 2018,Thaddeus Young,IND,7,236.8,2,7,203,221,100
NBA,2017 - 2018,Darren Collison,IND,7,213.9,8,23,183,175,79
NBA,2017 - 2018,Jimmy Butler,MIN,5,170.4,8,17,203,232,105
NBA,2017 - 2018,Ogugua Anunoby,TOR,10,238,13,29,203,232,105
NBA,2017 - 2018,Andrew Wiggins,MIN,5,164.2,7,21,203,194,88
NBA,2017 - 2018,Royce O'Neale,UTA,11,259,10,28,198,226,103
NBA,2017 - 2018,Karl-Anthony Towns,MIN,5,169.8,3,11,213,248,112
NBA,2017 - 2018,Damian Lillard,POR,4,162.5,9,30,191,195,88
NBA,2017 - 2018,Lance Stephenson,IND,7,149.4,8,26,198,230,104
NBA,2017 - 2018,Carmelo Anthony,OKC,6,193.7,6,28,203,240,109
NBA,2017 - 2018,Derrick Rose,MIN,5,118.8,7,10,191,200,91
NBA,2017 - 2018,Jabari Parker,MIL,7,167.4,6,19,203,245,111
NBA,2017 - 2018,Ian Clark,NOP,9,189.8,10,28,191,175,79
NBA,2017 - 2018,Al-Farouq Aminu,POR,4,130.9,13,30,206,220,100
NBA,2017 - 2018,Patty Mills,SAS,5,164.9,13,35,183,180,82
NBA,2017 - 2018,Pascal Siakam,TOR,10,178.5,3,4,206,230,104
NBA,2017 - 2018,Mike Scott,WAS,6,126.1,7,11,203,237,108
NBA,2017 - 2018,Jeff Teague,MIN,5,153.1,7,18,188,195,88
NBA,2017 - 2018,Kelly Olynyk,MIA,5,146.2,8,19,213,240,109
NBA,2017 - 2018,Steven Adams,OKC,6,200.3,0,0,213,265,120
NBA,2017 - 2018,James Johnson,MIA,5,160.5,7,13,203,240,109
NBA,2017 - 2018,Rudy Gay,SAS,5,159.6,4,18,203,240,109
NBA,2017 - 2018,Malcolm Brogdon,MIL,7,186.3,5,19,196,229,104
NBA,2017 - 2018,David West,GSW,18,174.6,1,2,206,250,113
NBA,2017 - 2018,Markieff Morris,WAS,6,181.3,2,12,208,245,111
NBA,2017 - 2018,Jamal Crawford,MIN,5,123,7,17,196,195,88
NBA,2017 - 2018,"Kelly Oubre, Jr.",WAS,6,148.2,4,19,201,205,93
NBA,2017 - 2018,T.J. McConnell,PHI,10,155,2,3,188,190,86
NBA,2017 - 2018,Greg Monroe,BOS,11,104.5,0,0,211,265,120
NBA,2017 - 2018,Marcin Gortat,WAS,6,159.8,0,0,211,240,109
NBA,2017 - 2018,Nick Young,GSW,20,205.3,14,47,201,210,95
NBA,2017 - 2018,Dante Exum,UTA,10,113.7,2,7,198,190,86
NBA,2017 - 2018,Otto Porter,WAS,5,158.1,5,12,203,198,90
NBA,2017 - 2018,Justise Winslow,MIA,5,124.8,7,19,201,225,102
NBA,2017 - 2018,Jakob Poeltl,TOR,9,139.9,0,1,213,240,109
NBA,2017 - 2018,Jusuf Nurkic,POR,4,93.5,0,0,213,290,132
NBA,2017 - 2018,Manu Ginobili,SAS,5,106.6,6,18,198,205,93
NBA,2017 - 2018,Darius Miller,NOP,9,162.3,9,24,203,225,102
NBA,2017 - 2018,Jerami Grant,OKC,6,132.7,2,8,206,220,100
NBA,2017 - 2018,Josh Richardson,MIA,5,129.7,6,19,198,200,91
NBA,2017 - 2018,Jordan Bell,GSW,17,173.4,0,1,206,224,102
NBA,2017 - 2018,Shane Larkin,BOS,11,154,4,13,180,175,79
NBA,2017 - 2018,Fred VanVleet,TOR,6,114.3,8,28,183,195,88
NBA,2017 - 2018,Tyler Johnson,MIA,5,80.8,6,10,193,190,86
NBA,2017 - 2018,Dejounte Murray,SAS,5,95.9,4,6,196,175,79
NBA,2017 - 2018,Wayne Ellington,MIA,5,100.7,12,30,196,200,91
NBA,2017 - 2018,Corey Brewer,OKC,6,151.3,5,11,206,186,84
NBA,2017 - 2018,Cory Joseph,IND,7,143.2,3,11,191,200,91
NBA,2017 - 2018,Thon Maker,MIL,6,129.7,6,20,216,221,100
NBA,2017 - 2018,Solomon Hill,NOP,9,114,6,16,201,225,102
NBA,2017 - 2018,Tony Parker,SAS,5,66.7,0,5,188,185,84
NBA,2017 - 2018,Semi Ojeleye,BOS,17,229.9,6,22,201,241,109
